--------------------------------------------------------------------------		
ORFs not available in the Yeast Deletion Collection  		
--------------------------------------------------------------------------		
ORF_name 	Gene_name                           	SGD_class
======== 	========================            	=========
YAL016C-A	                                    	Dubious
YAL019W-A	                                    	Dubious
YAL026C-A	                                    	Dubious
YAL031W-A	                                    	Dubious
YAL034C-B	YAL035C-A                           	Dubious
YAL037C-B	                                    	Dubious
YAL042C-A	YAL043C-A                           	Dubious
YAL047W-A	                                    	Dubious
YAL056C-A	YAL058C-A                           	Dubious
YAL059C-A	                                    	Dubious
YAL063C  	FLO9                                	Verified
YAL063C-A	                                    	Uncharacterized
YAL064W  	                                    	Verified
YAL064W-B	                                    	Uncharacterized
YAL068W-A	                                    	Dubious
YAL069W  	                                    	Dubious
YAR019W-A	                                    	Dubious
YAR033W  	MST28                               	Verified
YAR053W  	                                    	Dubious
YAR060C  	                                    	Dubious
YAR064W  	                                    	Uncharacterized
YAR066W  	                                    	Uncharacterized
YAR068W  	                                    	Uncharacterized
YAR069C  	                                    	Dubious
YAR070C  	                                    	Dubious
YAR071W  	PHO11                               	Verified
YAR073W  	IMD1                                	Dubious
YAR075W  	                                    	Dubious
YBL006W-A	                                    	Dubious
YBL039C-A	                                    	Dubious
YBL039W-B	YBL039W-A                           	Uncharacterized
YBL059C-A	                                    	Uncharacterized
YBL068W-A	                                    	Dubious
YBL100W-C	YBL101W-C                           	Uncharacterized
YBL107W-A	                                    	Dubious
YBL108C-A	                                    	Uncharacterized
YBL108W  	                                    	Dubious
YBL109W  	                                    	Dubious
YBL111C  	                                    	Uncharacterized
YBL112C  	                                    	Uncharacterized
YBL113C  	                                    	Uncharacterized
YBL113W-A	                                    	Dubious
YBR056C-B	                                    	Dubious
YBR076C-A	                                    	Dubious
YBR089C-A	NHP6B, YBR090C-A                    	Verified
YBR103C-A	                                    	Dubious
YBR109W-A	                                    	Dubious
YBR121C-A	                                    	Dubious
YBR126W-A	                                    	Dubious
YBR126W-B	                                    	Dubious
YBR131C-A	                                    	Dubious
YBR141W-A	                                    	Dubious
YBR191W-A	                                    	Dubious
YBR201C-A	                                    	Uncharacterized
YBR223W-A	                                    	Dubious
YBR255C-A	                                    	Uncharacterized
YBR298C-A	                                    	Uncharacterized
YBR302C  	COS2                                	Verified
YCL018W  	LEU2                                	Verified
YCL048W-A	                                    	Uncharacterized
YCL058W-A	                                    	Uncharacterized
YCL065W  	                                    	Dubious
YCL066W  	HMLALPHA1, ALPHA1                   	Verified
YCL067C  	HMLALPHA2, ALPHA2                   	Verified
YCL068C  	                                    	Uncharacterized
YCL073C  	                                    	Uncharacterized
YCR018C  	SRD1                                	Verified
YCR018C-A	                                    	Dubious
YCR024C-B	                                    	Uncharacterized
YCR038C  	BUD5                                	Verified
YCR038W-A	                                    	Dubious
YCR039C  	MATALPHA2, ALPHA2                   	Verified
YCR040W  	MATALPHA1, ALPHA1                   	Verified
YCR041W  	                                    	Dubious
YCR042C  	TAF2, TSM1, TAF150                  	Verified
YCR045W-A	                                    	Dubious
YCR047W-A	                                    	Dubious
YCR081C-A	                                    	Dubious
YCR096C  	HMRA2, A2                           	Verified
YCR097W  	HMRA1, YCR097WB                     	Verified
YCR097W-A	                                    	Dubious
YCR104W  	PAU3                                	Verified
YCR108C  	                                    	Uncharacterized
YDL007C-A	                                    	Uncharacterized
YDL022C-A	                                    	Dubious
YDL025W-A	                                    	Dubious
YDL086C-A	                                    	Dubious
YDL114W-A	                                    	Dubious
YDL159C-B	YDL159C-A                           	Dubious
YDL185C-A	                                    	Dubious
YDL228C  	                                    	Dubious
YDL240C-A	                                    	Dubious
YDL244W  	THI13                               	Verified
YDL245C  	HXT15                               	Verified
YDL246C  	SOR2                                	Uncharacterized
YDL247W  	MPH2                                	Verified
YDL247W-A	                                    	Dubious
YDL248W  	COS7                                	Verified
YDR012W  	RPL4B                               	Verified
YDR014W-A	HED1                                	Verified
YDR034C-A	                                    	Uncharacterized
YDR038C  	ENA5                                	Verified
YDR039C  	ENA2                                	Verified
YDR040C  	ENA1, PMR2, HOR6                    	Verified
YDR106W  	ARP10                               	Verified
YDR118W-A	                                    	Dubious
YDR119W-A	                                    	Uncharacterized
YDR183C-A	                                    	Dubious
YDR320W-B	                                    	Dubious
YDR342C  	HXT7                                	Verified
YDR343C  	HXT6                                	Verified
YDR354C-A	                                    	Dubious
YDR366C  	                                    	Uncharacterized
YDR371C-A	                                    	Dubious
YDR374W-A	                                    	Uncharacterized
YDR381C-A	                                    	Verified
YDR406W-A	YDR406C-A                           	Dubious
YDR461C-A	                                    	Uncharacterized
YDR464C-A	                                    	Dubious
YDR510C-A	                                    	Dubious
YDR524C-A	YDR524C-C                           	Dubious
YDR524W-C	YDR524W-A                           	Uncharacterized
YDR542W  	                                    	Uncharacterized
YDR543C  	                                    	Dubious
YDR544C  	                                    	Dubious
YDR545C-A	                                    	Dubious
YDR545W  	YRF1-1, YRF1                        	Verified
YEL008C-A	                                    	Dubious
YEL009C-A	                                    	Dubious
YEL018C-A	                                    	Dubious
YEL020C-B	                                    	Dubious
YEL020W-A	TIM9                                	Verified
YEL021W  	URA3                                	Verified
YEL030C-A	                                    	Dubious
YEL032C-A	                                    	Dubious
YEL034C-A	                                    	Dubious
YEL050W-A	                                    	Dubious
YEL053W-A	                                    	Dubious
YEL069C  	HXT13                               	Verified
YEL070W  	DSF1                                	Uncharacterized
YEL073C  	                                    	Uncharacterized
YEL074W  	                                    	Dubious
YEL075C  	                                    	Uncharacterized
YEL075W-A	YEL076W-C                           	Dubious
YEL076C  	                                    	Uncharacterized
YEL076C-A	                                    	Uncharacterized
YEL077C  	                                    	Uncharacterized
YEL077W-A	                                    	Dubious
YER006C-A	                                    	Dubious
YER023C-A	                                    	Dubious
YER076W-A	                                    	Dubious
YER078W-A	                                    	Uncharacterized
YER079C-A	                                    	Dubious
YER084W-A	                                    	Dubious
YER088C-A	                                    	Dubious
YER088W-B	                                    	Dubious
YER090C-A	                                    	Dubious
YER100W  	UBC6, DOA2                          	Verified
YER102W  	RPS8B                               	Verified
YER107W-A	                                    	Dubious
YER133W-A	                                    	Dubious
YER137W-A	                                    	Dubious
YER138W-A	                                    	Uncharacterized
YER145C-A	                                    	Dubious
YER147C-A	                                    	Dubious
YER148W-A	                                    	Dubious
YER152W-A	                                    	Dubious
YER158W-A	                                    	Dubious
YER165C-A	                                    	Dubious
YER172C-A	                                    	Dubious
YER188C-A	                                    	Uncharacterized
YER189W  	                                    	Uncharacterized
YER190C-A	                                    	Dubious
YER190C-B	                                    	Uncharacterized
YER190W  	YRF1-2, YRF1                        	Verified
YFL012W-A	YFL013W-A                           	Dubious
YFL015W-A	                                    	Dubious
YFL017W-A	SMX2, YFL018W-A, SNP2               	Verified
YFL021C-A	                                    	Dubious
YFL031C-A	YFL030C-A                           	Dubious
YFL034C-B	MOB2, YFL035C-A, YFL035C            	Verified
YFL057C  	AAD16                               	Verified
YFL058W  	THI5                                	Verified
YFL059W  	SNZ3                                	Verified
YFL061W  	                                    	Uncharacterized
YFL062W  	COS4                                	Verified
YFL064C  	                                    	Uncharacterized
YFL065C  	                                    	Uncharacterized
YFL066C  	                                    	Uncharacterized
YFL067W  	                                    	Uncharacterized
YFL068W  	                                    	Uncharacterized
YFR009W-A	                                    	Dubious
YFR010W-A	                                    	Dubious
YFR034W-A	                                    	Dubious
YFR036W-A	                                    	Dubious
YFR052C-A	                                    	Dubious
YGL014C-A	                                    	Dubious
YGL041W-A	                                    	Dubious
YGL052W  	                                    	Dubious
YGL063C-A	                                    	Dubious
